id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi_times,roi_currency,roi_percentage
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,192.0,2579411136,67,3075737373.0,272328066.0,193.0,170.0,20.0,11.0,262446667.0,11.0,13418109.0,16000000.0,16000000.0,662.0,-71.0,2021-05-18T21:19:59.514Z,26.0,639.0,2020-11-05T09:20:11.928Z,,2021-12-07T10:44:03.149Z,0.0,11.0,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,2.0,11214782923,18,17786605235.0,535617690.0,2.0,2.0,0.0,6.0,633283429.0,6.0,6305184590.0,6754515580.40258,10000000000.0,4.0,-50.0,2019-06-20T14:51:19.480Z,0.0,1590.0,2020-03-13T02:20:48.438Z,,2021-12-07T10:46:14.700Z,0.0,6.0,-0.2578720786893617,usd,-25.787207868936168
amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.0,2607942983,65,5389552088.0,46086391.0,0.0,0.0,0.0,12.0,260622838.0,11.0,48013928909.0,99441427281.7644,99225164238.50153,0.0,-55.0,2021-06-16T16:03:41.147Z,0.0,2068.0,2020-11-04T13:18:12.191Z,,2021-12-07T10:45:41.473Z,1.0,12.0,,,
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,47.0,2350388788,71,3095795201.0,54877071.0,48.0,41.0,6.0,14.0,294973694.0,14.0,50108502.0,64598643.0,66000000.0,89.0,-47.0,2021-11-05T04:14:42.689Z,0.0,15599.0,2020-01-31T06:47:36.543Z,,2021-12-07T10:44:50.285Z,-1.0,14.0,62.5466323817012,usd,6254.66323817012
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,94.0,22752412462,12,67474963052.0,1470818026.0,96.0,78.0,15.0,20.0,3635751828.0,19.0,242782452.0,377752194.4695483,720000000.0,145.0,-35.0,2021-11-21T14:18:56.538Z,3.0,3249.0,2020-12-31T13:15:21.540Z,,2021-12-07T10:45:10.168Z,-1.0,20.0,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,109.0,7169630442,27,29388547969.0,415487419.0,109.0,96.0,10.0,10.0,558306757.0,8.0,65869203.0,270000000.0,270000000.0,165.0,-34.0,2021-11-06T19:29:29.482Z,0.0,87946.0,2020-11-06T08:05:43.662Z,,2021-12-07T10:44:19.167Z,0.0,10.0,,,
basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,1.0,2049034738,76,2058674683.0,689539642.0,1.0,1.0,0.0,15.0,270650363.0,15.0,1492976103.0,1500000000.0,1500000000.0,2.0,-28.0,2021-11-28T00:23:51.354Z,0.0,1796.0,2017-07-16T00:00:00.000Z,,2021-12-07T10:45:11.886Z,-1.0,15.0,0.9955979998243903,eth,99.55979998243905
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,13356942018,16,,6185068163.0,1.0,1.0,0.0,0.0,-203483419.0,-2.0,13352139799.0,13352139798.84,,1.0,-13.0,2020-03-13T02:35:42.953Z,1.0,11.0,2021-05-19T13:04:37.445Z,,2021-12-07T10:44:47.116Z,0.0,0.0,,,
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,590.0,99127279226,3,99127279226.0,2193948255.0,595.0,541.0,39.0,7.0,6610558556.0,7.0,168137036.0,168137035.9,168137035.9,686.0,-14.0,2021-05-10T07:24:17.097Z,0.0,1480554.0,2017-10-19T00:00:00.000Z,,2021-12-07T10:45:09.020Z,0.0,7.0,,,
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,51359.0,968620906804,1,1076595089076.0,34556338949.0,51515.0,47379.0,3673.0,8.0,70277467224.0,8.0,18893862.0,21000000.0,21000000.0,69045.0,-26.0,2021-11-10T14:24:11.849Z,68.0,75504.0,2013-07-06T00:00:00.000Z,,2021-12-07T10:44:27.802Z,0.0,8.0,,,
