id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,51359.0,968620906804,1,1076595089076.0,34556338949.0,51515.0,47379.0,3672.81,7.70208,70277467224.0,7.82301,18893862.0,21000000.0,21000000.0,69045.0,-25.749,2021-11-10T14:24:11.849Z,67.81,75504.17174,2013-07-06T00:00:00.000Z,,2021-12-07T10:44:27.802Z,-0.10042605712587546,7.702080027694863,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4402.93,521758846243,2,,27773679801.0,4421.61,3947.7,447.1,11.30239,53037857025.0,11.31544,118640441.0615,,,4878.26,-9.84863,2021-11-10T14:24:19.604Z,0.432979,1015612.12693,2015-10-20T00:00:00.000Z,,2021-12-07T10:44:31.416Z,-0.1708493522806886,11.302389547196112,113.84174043915989,btc,11384.17404391599
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,589.99,99127279226,3,99127279226.0,2193948255.0,594.51,540.95,39.36,7.14901,6610558556.0,7.14526,168137035.9,168137035.9,168137035.9,686.31,-14.09635,2021-05-10T07:24:17.097Z,0.0398177,1480554.25742,2017-10-19T00:00:00.000Z,,2021-12-07T10:45:09.020Z,-0.06570073011444758,7.1490065368194635,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,77128061334,4,,77605583012.0,1.02,0.99421,0.00163033,0.16307,791505190.0,1.03686,77041290049.2203,77041290049.2203,,1.32,-24.33453,2018-07-24T00:00:00.000Z,0.572521,74.86281,2015-03-02T00:00:00.000Z,,2021-12-07T10:43:35.635Z,0.018112461767537467,0.1630658547856005,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/Solana.jpg?1635329178,202.12,61741664125,5,,3072017394.0,203.42,177.67,23.25,12.99835,6837333288.0,12.45318,305911221.573665,508180963.57,,259.96,-22.32948,2021-11-06T21:54:35.825Z,0.500801,40217.73601,2020-05-11T19:35:23.449Z,,2021-12-07T10:43:55.689Z,-0.5071898409447947,12.998353756955963,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.47,46996558125,6,65952078532.0,2342262691.0,1.47,1.26,0.191658,14.98128,6089822495.0,14.88709,32066390668.4135,45000000000.0,45000000000.0,3.09,-52.45806,2021-09-02T06:00:10.474Z,0.01925275,7522.69086,2020-03-13T02:22:55.044Z,,2021-12-07T10:45:56.707Z,0.5795102475982582,14.981278625495401,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,40807856212,7,,4699391479.0,1.01,0.99357,0.00160357,0.1606,222883209.0,0.54918,40815012871.6605,40815012512.7247,,1.17,-14.74209,2019-05-08T00:40:28.300Z,0.891848,12.10708,2021-05-19T13:14:05.611Z,,2021-12-07T10:45:50.791Z,-0.008979751074803704,0.1606034024817046,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.838766,39575953097,8,83763424876.0,3614251050.0,0.841812,0.752832,0.07634,10.01277,3655761686.0,10.17746,47247295769.0,100000000000.0,100000000000.0,3.4,-75.35246,2018-01-07T00:00:00.000Z,0.00268621,31082.79247,2014-05-22T00:00:00.000Z,,2021-12-07T10:45:03.796Z,0.08688785883711403,10.012770848944756,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,29.06,30800755133,9,,1538382035.0,29.13,24.98,3.66,14.42076,3851710706.0,14.29257,1062716484.99114,1143665617.77084,,54.98,-47.20328,2021-11-04T14:10:09.301Z,2.7,976.12957,2020-08-20T05:48:11.359Z,,2021-12-07T10:44:30.143Z,-0.054343709759637905,14.420755729272683,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,72.35,27663129395,10,72121755590.0,3579322582.0,72.12,60.32,11.01,17.958,3654390775.0,15.22109,383561508.84921,856711077.445073,1000000000.0,77.73,-6.94422,2021-12-05T09:49:05.708Z,0.121798,59287.16118,2020-03-18T17:03:01.083Z,,2021-12-07T10:44:45.301Z,3.9196781691857687,17.957998813365027,,,
